cleaned_data
date,s_and_p_comp,dividend,earnings,CPI,fraction_date,long_interest_rate,real_price,real_dividend,real_total_return_price,real_earnings,real_scaled_earnings,CAPE,TR_CAPE,excess_CAPE,montly_bond_return,real_bond_return,10_year_stock_return,10_year_bond_return,10_year_excess_return
1871-01,"4,44","0,26","0,40","12,46","1871,04","5,32","97,60","5,72","97,60","8,79","8,79",NA,NA,,"1,00","1,00","13,06%","9,25%","3,81%"
1871-02,"4,50","0,26","0,40","12,84","1871,13","5,32","95,99","5,55","96,45","8,53","8,57",NA,NA,,"1,00","0,97","13,09%","9,46%","3,62%"
1871-03,"4,61","0,26","0,40","13,03","1871,21","5,33","96,90","5,46","97,82","8,41","8,49",NA,NA,,"1,00","0,96","13,10%","9,62%","3,48%"
1871-04,"4,74","0,26","0,40","12,56","1871,29","5,33","103,40","5,67","104,87","8,73","8,85",NA,NA,,"1,00","1,00","12,21%","9,10%","3,11%"
1871-05,"4,86","0,26","0,40","12,27","1871,38","5,33","108,49","5,80","110,51","8,93","9,10",NA,NA,,"1,00","1,03","12,26%","8,95%","3,31%"
1871-06,"4,82","0,26","0,40","12,08","1871,46","5,34","109,29","5,90","111,83","9,07","9,28",NA,NA,,"1,00","1,05","12,31%","8,77%","3,54%"
1871-07,"4,73","0,26","0,40","12,08","1871,54","5,34","107,25","5,90","110,25","9,07","9,32",NA,NA,,"1,00","1,06","12,00%","8,66%","3,34%"
1871-08,"4,79","0,26","0,40","11,89","1871,63","5,34","110,35","5,99","113,94","9,21","9,52",NA,NA,,"1,00","1,08","11,19%","8,27%","2,93%"
1871-09,"4,84","0,26","0,40","12,18","1871,71","5,35","108,89","5,85","112,94","9,00","9,33",NA,NA,,"1,00","1,06","11,00%","8,10%","2,90%"
1871-10,"4,59","0,26","0,40","12,37","1871,79","5,35","101,67","5,76","105,95","8,86","9,23",NA,NA,,"1,00","1,05","11,48%","8,17%","3,31%"
